"my_id","follower_id","status"
"139","681","1"
"847","288","1"
"196","759","1"
"196","737","1"
"196","597","1"
"847","106","1"
"903","681","1"
"20","439","1"
"856","568","1"
"862","815","1"
"926","589","1"
"475","196","1"
"862","824","1"
"856","783","1"
"189","834","1"
"475","136","1"
"862","139","1"
"139","106","1"
"909","3","1"
"856","834","1"
"106","847","1"
"106","139","1"
"475","481","1"
"189","856","1"
"139","825","1"
"153","701","1"
"285","106","1"
"856","821","1"
"106","285","1"
"153","681","1"
"192","726","1"
"620","3","1"
"285","847","1"
"820","900","1"
"824","106","1"
"820","812","1"
"926","887","1"
"856","822","1"
"834","189","1"
"148","386","1"
"729","887","1"
"753","439","1"
"382","909","1"
"926","909","1"
"589","909","1"
"926","630","1"
"891","589","1"
"148","642","1"
"439","753","1"
"106","824","1"
"165","909","1"
"862","285","1"
"589","630","1"
"862","820","1"
"165","867","1"
"825","630","1"
"620","192","1"
"382","167","1"
"438","142","1"
"933","520","1"
"847","753","1"
"753","782","1"
"753","847","1"
"52","753","1"
"847","908","1"
"820","165","1"
"818","834","1"
"139","175","1"
"439","20","1"
"847","439","1"
"856","658","1"
"139","933","1"
"815","285","1"
"856","344","1"
"377","909","1"
"139","285","1"
"901","52","1"
"753","52","1"
"391","783","1"
"382","744","1"
"377","753","1"
"815","933","1"
"922","909","1"
"382","192","1"
"856","109","1"
"847","933","1"
"890","824","1"
"382","681","1"
"856","189","1"
"753","377","1"
"165","439","1"
"890","815","1"
"382","662","1"
"344","783","1"
"175","139","1"
"825","139","1"
"320","439","1"
"847","285","1"
"382","473","1"
"382","272","1"
"344","173","1"
"165","620","1"
"514","216","1"
"382","578","1"
"344","530","1"
"382","207","1"
"344","519","1"
"514","681","1"
"103","953","1"
"344","561","1"
"382","3","1"
"344","568","1"
"856","475","1"
"344","625","1"
"589","890","1"
"514","167","1"
"344","475","1"
"589","926","1"
"589","843","1"
"764","554","1"
"901","900","1"
"514","753","1"
"764","52","1"
"514","439","1"
"764","753","1"
"933","847","1"
"956","815","1"
"956","106","1"
"196","439","1"
