"id","post_id","parent_comment_id","comment","sender_id","user_id","status","action","type"
"1",NULL,NULL,NULL,"4","7","1","Followed","Following"
"2",NULL,NULL,NULL,"1","4","1","Followed","Following"
"3",NULL,NULL,NULL,"3","45","0","Followed","Following"
"5",NULL,NULL,NULL,"1","4","1","Followed","Following"
"7","278",NULL,"Hey bro!","1","4","1","Commented","Post"
"8","360",NULL,"This is an interesting write-up. I have a question though, in the quest to create solutions that saves time for people, you end up spending quite a fair of time. Also, sometimes it might not really be worth it. What metric can be used to determine how to balance this appropriately?","3","7","1","Commented","Post"
"9","360",NULL,"A nice write up","4","7","1","Commented","Post"
"10",NULL,NULL,NULL,"3","363","0","Followed","Following"
"11","143",NULL,"I have learnt how to publish an article and How to use Doc and to create a blog","2191","2191","0","Commented","Post"
"12","371",NULL,"That's awesome","9","3","1","Commented","Post"
"13",NULL,NULL,NULL,"834","856","0","Followed","Following"
"14",NULL,NULL,NULL,"2240","59","0","Followed","Following"
"15","371",NULL,"wait, this works?","6","3","1","Commented","Post"
"16","371",NULL,"uhm... not really...","6","3","1","Commented","Post"
"17",NULL,NULL,NULL,"492","6","1","Followed","Following"
"18",NULL,NULL,NULL,"2245","6","1","Followed","Following"
"19",NULL,NULL,NULL,"1051","6","1","Followed","Following"
"20",NULL,NULL,NULL,"710","6","1","Followed","Following"
"21",NULL,NULL,NULL,"1043","11","0","Followed","Following"
"22",NULL,NULL,NULL,"868","6","1","Followed","Following"
"23",NULL,NULL,NULL,"612","6","1","Followed","Following"
"24",NULL,NULL,NULL,"847","6","1","Followed","Following"
"25",NULL,NULL,NULL,"1731","6","1","Followed","Following"
"26","371",NULL,"But my posts are nowhere to be found. Excellent work boss... Kudos!!","489","3","1","Commented","Post"
"27",NULL,NULL,NULL,"242","6","1","Followed","Following"
"28",NULL,NULL,NULL,"1864","1147","0","Followed","Following"
"29",NULL,NULL,NULL,"1864","118","0","Followed","Following"
"30",NULL,NULL,NULL,"439","2218","0","Followed","Following"
"31",NULL,NULL,NULL,"439","2218","0","Followed","Following"
"32",NULL,NULL,NULL,"192","6","1","Followed","Following"
"33",NULL,NULL,NULL,"550","6","1","Followed","Following"
"34","371",NULL,"Yay, a comment section too. Nice job","550","3","1","Commented","Post"
"35",NULL,NULL,NULL,"1801","922","0","Followed","Following"
"36",NULL,NULL,NULL,"1340","738","0","Followed","Following"
"37",NULL,NULL,NULL,"1340","101","0","Followed","Following"
"38","439",NULL,"Can't wait...wish notification is up and running by then. Keeping tab.","1340","6","1","Commented","Post"
"39",NULL,NULL,NULL,"1340","6","1","Followed","Following"
"40",NULL,NULL,NULL,"698","6","1","Followed","Following"
"41",NULL,NULL,NULL,"1318","6","0","Followed","Following"
"42",NULL,NULL,NULL,"1825","6","0","Followed","Following"
"43",NULL,NULL,NULL,"1239","6","0","Followed","Following"
"44",NULL,NULL,NULL,"1098","6","0","Followed","Following"
"45",NULL,NULL,NULL,"1010","6","0","Followed","Following"
"46",NULL,NULL,NULL,"669","458","0","Followed","Following"
"47",NULL,NULL,NULL,"669","458","0","Followed","Following"
"48",NULL,NULL,NULL,"47","6","0","Followed","Following"
"49",NULL,NULL,NULL,"669","458","0","Followed","Following"
"50",NULL,NULL,NULL,"377","6","0","Followed","Following"
"51",NULL,NULL,NULL,"2234","6","0","Followed","Following"
"52",NULL,NULL,NULL,"2234","6","0","Followed","Following"
"53",NULL,NULL,NULL,"620","6","0","Followed","Following"
"54",NULL,NULL,NULL,"129","6","0","Followed","Following"
"55",NULL,NULL,NULL,"2234","6","0","Followed","Following"
"56",NULL,NULL,NULL,"2234","6","0","Followed","Following"
"57",NULL,NULL,NULL,"2234","6","0","Followed","Following"
"58",NULL,NULL,NULL,"2234","6","0","Followed","Following"
"59",NULL,NULL,NULL,"2234","6","0","Followed","Following"
"60",NULL,NULL,NULL,"2234","6","0","Followed","Following"
"61",NULL,NULL,NULL,"2234","6","0","Followed","Following"
"62",NULL,NULL,NULL,"2234","6","0","Followed","Following"
"63",NULL,NULL,NULL,"2234","6","0","Followed","Following"
"64",NULL,NULL,NULL,"2234","6","0","Followed","Following"
"65",NULL,NULL,NULL,"2234","6","0","Followed","Following"
"66",NULL,NULL,NULL,"2234","6","0","Followed","Following"
"67",NULL,NULL,NULL,"2271","6","0","Followed","Following"
"68",NULL,NULL,NULL,"2234","6","0","Followed","Following"
"69",NULL,NULL,NULL,"2234","6","0","Followed","Following"
"70",NULL,NULL,NULL,"2234","6","0","Followed","Following"
"71",NULL,NULL,NULL,"2234","6","0","Followed","Following"
"72",NULL,NULL,NULL,"2234","6","0","Followed","Following"
