id,user_id,title,content,tags,slug,created_at,updated_at,image,status_id,action,post_id
41,368,lucid post to start.ng,"<p>i have learnt some basic platform like slack and also used blogger ,i wish to learn more on software development , i wish you could improve on mode of communication and carry every on along in class</p>",,lucid-post-to-startng-c0f,8/25/2019 23:34,8/28/2019 12:30,,,,
42,2170,Myself and Startng,"As a young lady in this computer age, I really do not like computers, call me backward and archaic but that's the truth. Up until I registered for the pre internship program on Startng, I really couldn't use the simple and basic tools that makes life easy for business owners and entrepreneurs. Barely six hours with my teacher and guide, I have been able to create my own blog, coordinate my ideas on the blog, include a backlink on my post, use simple and basic applications without stress. Startng doesn't only open eyes but put brains to work , as it has done mine.

I hope to gain more knowledge on this platform, learn more about the ability of computers and applications, just maybe I could venture into programming as this platform has opened my eyes to see that understanding the computer and it's component is not that difficult.

The StartNg platform is indeed awesome and the facilitators very accommodating.",,myself-and-startng-ca2,8/25/2019 23:37,8/28/2019 12:30,,,,
43,1133,"Towards Becoming a Software Engineer, A case Study of my Journey with HNG","![](/storage/1133/images/img-zplxyakz2a.png)

  

It has always been a dream of mine to have a platform where I can develop into a complete Software Developer. Studying with HNG and and its wonderful mentors has really been of immense help in this programming journey. The seamless provision of easy to use and understand materials is top notch and the response time to queries is very commendable. 

  

   Few days into the program and we are already in task 2, here I will be sharing my experience so far on this task 2 because when this task 2 was announced I felt a bit awkward because of the timing but guess what...then comes the materials to assist novice like me and the rest they say is history as I was able to use html to write my CV in a text editor using computer codes as well as upload my portrait on the same page, my joy knew no bounds seeing the positive effects of what I have accomplished when I refreshed my chrome browser to see the changes. 

  

 This has further uplifted my spirit and confidence towards becoming a complete Software developer. It may seem tough at the beginning but the journey gets interesting along the way especially with the help of the HNG mentors.",,towards-becoming-a-software-engineer-a-case-study-of-my-journey-with-hng-fa3,8/25/2019 23:39,8/28/2019 12:30,1,,,
44,1134,HTML Course so far on startdotng,"On Start.ng I have learnt the HTML document structure. The structuring of a Html page consists of the following:

*   DIVs which are block-level elements (block-level elements begin on a new line, stacking on top of each other and take up any available width) while SPANs are inline-level elements (inline level elements follow the normal document flow and only take up the width of their content). 
*   The major sections of pages include the head, body(Artcile, Section and Aside) and the footer
*   IDs and Classes which are attributes used in identifying and grouping elements when styling 
*   Forms which are used to receive information of the website. It includes input fields with types depending on the type of data needed.
*   Tags are used to define specific elements e.g the body tags which defines the body of the html document etc
*   It is very IMPORTANT to close tags after opening them except incases of tags that dont need a close tag e.g the image tag
*   Comments are important in writing HTML code just so another person finds it easier to read and understand your code

Below is a project on structuring My Curriculum Vitae with HTML

![](/storage/1134/images/img-pv7ae8w980.png)",,html-course-so-far-on-startdotng-277,8/25/2019 23:39,8/28/2019 12:30,1,,,
45,1968,Task 2,"![](/storage/1968/images/img-3igapldin9.png)In the task 2, i created a new html file and populated it with the content of my cv. I had to push it to github and that was a challenge because i already had the html file on my system so i had to push it to github. The method i knew involved creating a repo first and then cloning it on the computer but i couldn't use that method because i already had the file. Anyways i learnt a new method thanks to this task.",,task-2-8b6,8/25/2019 23:47,8/28/2019 12:30,1,,,
46,2168,StartNG Stage 1,"Hi guys, my name is Damian Tochukwu, i go by the nick Ditto. I am from the Eastern Heartland state of Imo, and I'm an aspiring software engineer.

It is my due to my desire to be a professional software engineer that I'm writing this blog, post to inform you of my journey so far and if you follow this blog, there'd be more posts like this to update you of my journey ahead.

My desire to be a professional software engineer led me to sign up for the StartNG internship program, to be honest I never expected to be among the selected participants until I saw the congratulatory mail, it is the best mail I've received so far.

  

Though I am few hours into the program I feel like I've gained months worth of knowledge. I've been exposed to software development platforms, project management platforms and a whole lot of platforms out there I never knew existed.

  

My hunger for knowledge has been reignited, there is a lot I want to learn using this opportunity provided to me. Especially the programming and application development part of software engineering. I believe StartNG will provide me with all the knowledge I need.

  

So far my experience has been a remarkable one, I won't want anything to be changed. Thank you.",,startng-stage-1-cad,8/25/2019 23:47,8/28/2019 12:30,,,,
47,368,Lucid post to start.ng Task1,I have learnt how to use break point and some other techniques in designing web pages without the use of javascript and html and i got more familiar with my ide![](/storage/368/images/img-y0ojnq4jyc.png)![](/storage/368/images/img-o1rmgft4o7.png)![](/storage/368/images/img-b2i9iwxh8h.png)![](/storage/368/images/img-1zxjj15dhj.png),,lucid-post-to-startng-task1-9bc,8/25/2019 23:49,8/28/2019 12:30,1,,,
48,286,Task two of my Start.NG internship so far,"The HTML also known as Hyper Text Markup Language is the basic structure of any webpage and it is a markup language. The HTML Beginners Course was the delivered by SkylarNG89 and he was able to break it down in a professioner manner. Some of the concepts of HTML which he thoughtus included, HTML elements; tags and attributes, HTML document structure; doctype, head and body, HTML semantics; div, comment, heading, paragraph, building structure; Header, section, article, aside, footer, table; table row, table data, table structure, table borders

  

List, adding media; images, audio, video, forms, ordered and unordered lists .

  

I also learnt about the importance of HTML practices. 

  

I learnt about Flutterwave, learnt also that the co sponsored the HNG internship program and I even signed up a merchant account with them which i will use to integrate in website to receive online payments or create e commerce websites.

  

We had a git class by Ebuka Peter where he thought us how to install, setup git, how to use the commands. But unfortunately this is two days now i have not sleep because my git won't push for me for me to submit my task two.

  

Below is my CV in HTML task.

![](/storage/286/images/img-ix08wjmd9a.png)",,task-two-of-my-startng-internship-so-far-738,8/25/2019 23:55,8/28/2019 12:30,1,,,
49,312,CLASS HAS STARTED,"<p>As your can read it on the top, yes, class has started. it officially started since Monday 19th and after a long wait yeah we finally started. So allow me to share we you what we learned.</p>
<p><strong>Day 1 (HTML) :</strong></p>
<p>Long before the invention of the internet, websites didn’t exist...","StartNG, Learning, HTML, CSS, Git, Github",class-has-started-bae,8/25/2019 23:57,8/28/2019 12:30,gradimutdev/images/img-n9cd2sll72.png,,,
50,312,My Experience At StartNG So far,<h3>By the curiosity of trying everything I came across a post in a whatssApp group that said &quot;Pre-internship at StartNG&quot; and that it should be done remotely. As there is never anything for nothing I opted to register and see i it could be...,,my-experience-at-startng-so-far-6c6,8/25/2019 23:57,8/28/2019 12:30,,,,
